date,code,action,reason,price,shares,pnl_pct
2024-04-01,300074.SZ,买入,金叉,4.69,200,0.0
2024-04-03,300074.SZ,卖出,止损,4.42,200,-5.756929637526664
2024-04-03,603058.SH,买入,金叉,9.09,100,0.0
2024-04-10,002298.SZ,卖出,止损,5.21,100,-8.112874779541446
2024-04-10,300284.SZ,买入,金叉,6.29,100,0.0
2024-04-11,600807.SH,卖出,止损,3.28,200,-5.475504322766578
2024-04-11,000833.SZ,买入,金叉,6.53,100,0.0
2024-04-12,920163.BJ,卖出,死叉,11.6,100,61.55988857938719
2024-04-12,601388.SH,买入,金叉,3.02,300,0.0
2024-04-15,000593.SZ,卖出,止损,5.23,100,-5.935251798561136
2024-04-15,002632.SZ,卖出,死叉,6.95,100,-12.136536030341338
2024-04-15,000833.SZ,卖出,止损,5.88,100,-9.954058192955594
2024-04-15,300243.SZ,买入,金叉,9.35,100,0.0
2024-04-16,002645.SZ,卖出,止损,9.16,100,-11.067961165048546
2024-04-16,603058.SH,卖出,止损,8.48,100,-6.710671067106699
2024-04-16,601388.SH,卖出,止损,2.61,300,-13.576158940397354
2024-04-16,300243.SZ,卖出,止损,8.56,100,-8.449197860962554
2024-04-16,002295.SZ,买入,金叉,7.89,100,0.0
2024-04-16,600968.SH,买入,金叉,4.22,200,0.0
2024-04-16,002496.SZ,买入,金叉,2.27,400,0.0
2024-04-17,001696.SZ,买入,金叉,8.75,100,0.0
2024-04-18,002295.SZ,卖出,止损,7.35,100,-6.8441064638783295
2024-04-18,600094.SH,买入,金叉,3.79,200,0.0
2024-04-19,000520.SZ,买入,金叉,3.09,300,0.0
2024-04-22,000520.SZ,卖出,止损,2.78,300,-10.032362459546928
2024-04-22,000506.SZ,买入,金叉,5.4,100,0.0
2024-04-23,600094.SH,卖出,止损,3.6,200,-5.013192612137207
2024-04-23,000506.SZ,卖出,止损,4.96,100,-8.14814814814816
2024-04-23,600490.SH,买入,金叉,3.6,200,0.0
2024-04-24,600961.SH,卖出,死叉,10.07,100,3.3880903490759673
2024-04-24,002085.SZ,卖出,死叉,15.19,100,166.95957820738136
2024-04-24,002668.SZ,买入,金叉,10.01,100,0.0
2024-04-24,000899.SZ,买入,金叉,9.84,100,0.0
2024-04-25,002264.SZ,买入,金叉,5.8,100,0.0
2024-04-26,600727.SH,买入,金叉,6.97,100,0.0
2024-05-14,601857.SH,卖出,死叉,9.93,100,18.214285714285715
2024-05-14,300040.SZ,买入,金叉,5.87,100,0.0
2024-05-15,300040.SZ,卖出,止损,5.53,100,-5.7921635434412195
2024-05-15,002035.SZ,买入,金叉,8.35,100,0.0
2024-05-17,000600.SZ,卖出,死叉,6.65,100,4.88958990536279
2024-05-17,300249.SZ,买入,金叉,7.13,100,0.0
2024-05-22,600490.SH,卖出,止损,3.35,200,-6.944444444444442
2024-05-22,300626.SZ,买入,金叉,7.93,100,0.0
2024-05-24,300284.SZ,卖出,死叉,7.81,100,24.16534181240062
2024-05-24,600478.SH,买入,金叉,4.84,200,0.0
2024-05-27,000680.SZ,卖出,死叉,8.7,100,52.89982425307556
2024-05-27,002339.SZ,买入,金叉,7.46,100,0.0
2024-05-28,600478.SH,卖出,止损,4.52,200,-6.611570247933896
2024-05-28,001979.SZ,买入,金叉,9.98,100,0.0
2024-05-30,002339.SZ,卖出,止损,7.01,100,-6.0321715817694415
2024-05-30,001267.SZ,买入,金叉,4.9,200,0.0
2024-05-31,002668.SZ,卖出,死叉,10.26,100,2.4975024975024906
2024-05-31,002035.SZ,卖出,止损,7.91,100,-5.269461077844307
2024-05-31,300670.SZ,买入,金叉,6.69,100,0.0
