date,code,entry_price,exit_price,loss_pct
2020-11-11,300421.SZ,9.49,8.85,-6.743940990516339
2020-11-11,000922.SZ,8.75,8.3,-5.142857142857138
2020-11-11,300444.SZ,7.03,6.32,-10.099573257467998
2020-11-12,600686.SH,8.21,7.62,-7.186358099878209
2020-11-13,300385.SZ,10.46,9.92,-5.162523900573623
2020-11-13,000030.SZ,8.98,8.22,-8.463251670378613
2020-11-13,600616.SH,5.91,5.32,-9.983079526226735
2020-11-13,300329.SZ,10.4,9.2,-11.538461538461553
2020-11-16,300126.SZ,10.83,10.27,-5.170821791320412
2020-11-17,002149.SZ,10.9,10.35,-5.045871559633031
2020-11-17,000829.SZ,8.8,7.92,-10.000000000000009
2020-11-18,600336.SH,9.5,8.55,-9.999999999999998
2020-11-18,000811.SZ,8.76,7.88,-10.045662100456621
2020-11-20,000615.SZ,5.1,4.83,-5.294117647058815
2020-11-25,000012.SZ,7.69,7.11,-7.542262678803646
2020-11-25,002064.SZ,10.64,9.88,-7.14285714285714
2020-11-25,600381.SH,6.44,5.78,-10.248447204968947
2020-11-25,600738.SH,7.99,7.25,-9.261576971214025
2020-11-25,600497.SH,5.04,4.77,-5.357142857142872
2020-11-26,300032.SZ,6.34,5.87,-7.413249211356465
2020-11-26,300350.SZ,7.93,6.56,-17.276166456494323
2020-11-26,600686.SH,8.36,7.73,-7.535885167464107
2020-11-26,000612.SZ,8.51,7.94,-6.698002350176258
2020-11-26,600418.SH,10.31,9.58,-7.080504364694473
2020-11-27,002249.SZ,5.01,4.66,-6.986027944111772
2020-11-30,600019.SH,6.54,6.21,-5.045871559633031
2020-11-30,601058.SH,6.24,5.73,-8.173076923076916
2020-12-01,603100.SH,13.06,12.02,-7.963246554364478
2020-12-01,600798.SH,3.93,3.69,-6.106870229007644
2020-12-03,002532.SZ,9.01,8.44,-6.326304106548286
2020-12-03,600409.SH,9.43,8.78,-6.892895015906686
2020-12-03,000488.SZ,6.99,6.6,-5.579399141630914
2020-12-03,002068.SZ,7.1,6.34,-10.704225352112672
2020-12-03,603011.SH,6.85,6.2,-9.489051094890499
2020-12-04,000957.SZ,8.91,8.34,-6.3973063973064015
2020-12-04,002272.SZ,6.94,6.5,-6.340057636887608
2020-12-07,002652.SZ,4.75,4.41,-7.157894736842108
2020-12-07,000851.SZ,8.03,7.36,-8.3437110834371
2020-12-08,601388.SH,3.08,2.91,-5.519480519480513
2020-12-08,600117.SH,4.01,3.77,-5.985037406483784
2020-12-09,600810.SH,10.1,9.53,-5.643564356435649
2020-12-09,600433.SH,4.57,4.29,-6.126914660831517
2020-12-09,601600.SH,3.99,3.79,-5.012531328320802
2020-12-09,600392.SH,9.22,8.69,-5.748373101952287
2020-12-09,000702.SZ,6.85,6.38,-6.86131386861314
2020-12-09,002172.SZ,3.55,3.35,-5.633802816901401
2020-12-10,002571.SZ,9.54,8.77,-8.071278825995797
