date,code,strategy,reason,pnl
2024-09-02,688513.SH,红利低波,买入,0.0
2024-09-02,300783.SZ,红利低波,买入,0.0
2024-09-02,300251.SZ,红利低波,买入,0.0
2024-09-02,300529.SZ,红利低波,买入,0.0
2024-09-02,605005.SH,红利低波,买入,0.0
2024-09-11,003041.SZ,红利低波,止损,-12.16216216216216
2024-09-12,605599.SH,红利低波,止损,-12.22123104371098
2024-09-18,688786.SH,红利低波,调仓,-7.788317523714438
2024-09-18,002357.SZ,红利低波,买入,0.0
2024-09-18,605599.SH,红利低波,买入,0.0
2024-09-23,002570.SZ,红利低波,调仓,4.132231404958686
2024-09-23,300697.SZ,红利低波,调仓,1.0362694300518172
2024-09-23,300783.SZ,红利低波,调仓,-4.734740444951524
2024-09-23,920425.BJ,红利低波,买入,0.0
2024-09-23,003041.SZ,红利低波,买入,0.0
2024-09-23,600763.SH,红利低波,买入,0.0
2024-09-30,002264.SZ,红利低波,调仓,20.661157024793386
2024-09-30,300251.SZ,红利低波,调仓,32.04747774480712
2024-09-30,300529.SZ,红利低波,调仓,33.741830065359494
2024-09-30,920425.BJ,红利低波,调仓,41.60090191657273
2024-09-30,600763.SH,红利低波,调仓,38.068315665488804
2024-09-30,600506.SH,红利低波,买入,0.0
2024-09-30,002580.SZ,红利低波,买入,0.0
2024-09-30,002897.SZ,红利低波,买入,0.0
2024-09-30,001332.SZ,红利低波,买入,0.0
2024-09-30,603868.SH,红利低波,买入,0.0
2024-09-30,601567.SH,红利低波,买入,0.0
2024-10-08,300660.SZ,红利低波,调仓,37.43203680468423
2024-10-08,002264.SZ,红利低波,买入,0.0
2024-10-10,002264.SZ,红利低波,止损,-12.794612794612803
2024-10-14,002264.SZ,红利低波,买入,0.0
2024-10-14,603297.SH,红利低波,买入,0.0
2024-10-21,002897.SZ,红利低波,调仓,9.343434343434343
2024-10-21,603297.SH,红利低波,调仓,12.39265620373111
2024-10-28,600776.SH,红利低波,买入,0.0
2024-10-30,603868.SH,红利低波,止损,-12.128883774453403
