trade_date,real_top2,proxy_top2,n_overlap,n_real,n_proxy
2026-04-20,301578.SZ|603225.SH,300577.SZ|603225.SH,1,2,2
2026-04-21,603677.SH,001322.SZ|603060.SH,0,1,2
2026-04-22,603100.SH|603237.SH,603100.SH|603237.SH,2,2,2
2026-04-23,-,300833.SZ|301618.SZ,0,0,2
2026-04-24,300833.SZ|301258.SZ,300833.SZ|301258.SZ,2,2,2
2026-04-27,002981.SZ|603100.SH,001395.SZ|002981.SZ,1,2,2
2026-04-28,300138.SZ|300498.SZ,001395.SZ|300138.SZ,1,2,2
2026-04-29,001395.SZ|301187.SZ,001277.SZ|001395.SZ,1,2,2
2026-04-30,001395.SZ|301508.SZ,300481.SZ|605189.SH,0,2,2
2026-05-06,001395.SZ|605189.SH,001395.SZ|605189.SH,2,2,2
2026-05-07,001395.SZ|301199.SZ,001395.SZ|603326.SH,1,2,2
2026-05-08,001395.SZ|002918.SZ,001395.SZ|002918.SZ,2,2,2
2026-05-11,001395.SZ|002033.SZ,001395.SZ|002033.SZ,2,2,2
2026-05-12,003012.SZ,001395.SZ|603326.SH,0,1,2
2026-05-13,002521.SZ|301063.SZ,002521.SZ|003013.SZ,1,2,2
2026-05-14,-,000726.SZ|601686.SH,0,0,2
2026-05-15,001395.SZ,002155.SZ|600507.SH,0,1,2
2026-05-18,601666.SH|603661.SH,002393.SZ|301036.SZ,0,2,2
2026-05-19,002393.SZ|003012.SZ,002155.SZ|002393.SZ,1,2,2
2026-05-20,-,002393.SZ|600507.SH,0,0,2
2026-05-21,-,002155.SZ|600251.SH,0,0,2
2026-05-22,001395.SZ|002393.SZ,001395.SZ|002393.SZ,2,2,2
2026-05-25,600663.SH,002393.SZ|600663.SH,1,1,2
2026-05-26,-,300306.SZ|301223.SZ,0,0,2
2026-05-27,300577.SZ,002404.SZ|300662.SZ,0,1,2
2026-05-28,-,002394.SZ|300577.SZ,0,0,2
2026-05-29,300577.SZ,300306.SZ|301170.SZ,0,1,2
2026-06-01,001316.SZ|300306.SZ,001316.SZ,1,2,1
2026-06-02,-,301156.SZ,0,0,1
2026-06-03,-,301156.SZ|605080.SH,0,0,2
2026-06-04,002454.SZ,002454.SZ|300851.SZ,1,1,2
2026-06-05,002454.SZ|300851.SZ,002454.SZ|300851.SZ,2,2,2
2026-06-08,-,002454.SZ|300428.SZ,0,0,2
2026-06-09,002441.SZ|300035.SZ,002454.SZ|300035.SZ,1,2,2
2026-06-10,301088.SZ,001367.SZ|002769.SZ,0,1,2
2026-06-11,002906.SZ,002906.SZ|600197.SH,1,1,2
2026-06-12,001367.SZ|300035.SZ,001367.SZ|300035.SZ,2,2,2
2026-06-15,301299.SZ|601311.SH,301299.SZ|301376.SZ,1,2,2
2026-06-16,002357.SZ|603721.SH,001367.SZ|600066.SH,0,2,2
2026-06-17,300658.SZ|300841.SZ,300658.SZ|600007.SH,1,2,2
2026-06-18,-,603237.SH,0,0,1
2026-06-22,603071.SH|603237.SH,603071.SH|605338.SH,1,2,2
2026-06-23,603237.SH,-,0,1,0
2026-06-24,-,600598.SH|603997.SH,0,0,2
2026-06-25,-,603202.SH,0,0,1
2026-06-26,603193.SH,600295.SH|603808.SH,0,1,2
2026-06-29,002973.SZ|603808.SH,001230.SZ|603808.SH,1,2,2
2026-06-30,001230.SZ|001319.SZ,603706.SH,0,2,1
2026-07-01,600644.SH|603201.SH,001230.SZ|603201.SH,1,2,2
2026-07-02,600598.SH|603689.SH,603689.SH,1,2,1
2026-07-03,600573.SH|600969.SH,002053.SZ|600969.SH,1,2,2
2026-07-06,300533.SZ,300533.SZ|300970.SZ,1,1,2
2026-07-07,300014.SZ,300014.SZ|600598.SH,1,1,2
2026-07-08,-,-,0,0,0
2026-07-09,002810.SZ|603992.SH,002810.SZ|603992.SH,2,2,2
2026-07-10,002393.SZ|605166.SH,002393.SZ|300014.SZ,1,2,2
2026-07-13,301358.SZ,603006.SH|605166.SH,0,1,2
2026-07-14,300748.SZ|605166.SH,300748.SZ|603006.SH,1,2,2
2026-07-15,301163.SZ,300801.SZ|603006.SH,0,1,2
2026-07-16,603006.SH,603006.SH,1,1,1
2026-07-17,001256.SZ|002266.SZ,001256.SZ|002266.SZ,2,2,2
2026-07-20,001256.SZ|603091.SH,603091.SH|605118.SH,1,2,2
2026-07-21,001256.SZ|002845.SZ,001256.SZ|603062.SH,1,2,2
2026-07-22,603699.SH|603819.SH,002748.SZ|603819.SH,1,2,2
2026-07-23,001378.SZ|300980.SZ,001378.SZ|300980.SZ,2,2,2
2026-07-24,001378.SZ|603699.SH,001378.SZ|002748.SZ,1,2,2
2026-07-27,300980.SZ|301219.SZ,300980.SZ|301631.SZ,1,2,2
2026-07-28,001378.SZ|301059.SZ,001378.SZ|603948.SH,1,2,2
2026-07-29,001378.SZ|002845.SZ,001378.SZ|002845.SZ,2,2,2
2026-07-30,002534.SZ|603255.SH,002534.SZ|603255.SH,2,2,2
2026-08-03,002845.SZ|301107.SZ,002137.SZ|603328.SH,0,2,2
2026-08-04,002729.SZ|002845.SZ,002729.SZ|603375.SH,1,2,2
2026-08-05,301308.SZ|603290.SH,301308.SZ|603290.SH,2,2,2
2026-08-06,301308.SZ|603375.SH,000537.SZ|301308.SZ,1,2,2
2026-08-07,001309.SZ|301369.SZ,001309.SZ|603290.SH,1,2,2
2026-08-10,000557.SZ|301369.SZ,000557.SZ|002572.SZ,1,2,2
2026-08-11,603290.SH|605358.SH,001309.SZ|603290.SH,1,2,2
2026-08-12,002101.SZ|601778.SH,600032.SH|605166.SH,0,2,2
2026-08-13,603070.SH,603070.SH|605166.SH,1,1,2
2026-08-14,300445.SZ|603070.SH,603070.SH|605166.SH,1,2,2
