open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
3.03,2.96,2.96,3.0,3.26,260198.49,False,False,600578.SH,2024-09-11,-0.02310231023102305,0.0,0.013513513513513598
3.27,3.19,3.17,3.19,3.51,210063.0,False,False,600575.SH,2024-09-11,-0.024464831804281384,-0.006269592476489061,0.006309148264984188
9.18,9.13,9.13,9.35,10.04,131283.43,False,False,600479.SH,2024-09-12,-0.005446623093681824,0.0,0.02409638554216853
4.81,4.84,4.82,4.85,5.32,721084.99,False,False,600795.SH,2024-09-12,0.006237006237006293,-0.004132231404958553,0.006224066390041472
36.86,36.41,36.37,37.48,40.05,109552.07,False,False,000999.SZ,2024-09-13,-0.012208355941400018,-0.0010985992859104954,0.030519659059664583
16.49,16.13,16.1,16.22,17.74,153831.0,False,False,600079.SH,2024-09-13,-0.02183141297756208,-0.0018598884066954868,0.007453416149068248
9.96,9.88,9.98,10.19,10.87,56277.0,False,False,603998.SH,2024-09-18,-0.008032128514056214,0.010121457489878471,0.021042084168336528
13.9,13.46,13.5,13.8,16.15,12082.0,False,False,300980.SZ,2024-09-18,-0.031654676258992764,0.002971768202080227,0.022222222222222365
26.21,26.07,26.22,26.01,31.28,10726.77,False,False,301387.SZ,2024-09-19,-0.005341472720335805,0.005753739930955071,-0.008009153318077722
13.5,13.63,13.8,13.46,16.36,8998.5,False,False,300980.SZ,2024-09-19,0.009629629629629655,0.01247248716067495,-0.024637681159420333
17.92,18.54,20.03,17.27,20.39,1454970.26,True,False,000948.SZ,2024-09-20,0.03459821428571419,0.08036677454153196,-0.13779331003494766
13.8,13.54,13.46,13.53,16.25,9985.02,False,False,300980.SZ,2024-09-20,-0.018840579710145078,-0.005908419497784201,0.005200594353640398
13.46,13.36,13.53,13.98,16.03,16201.0,False,False,300980.SZ,2024-09-23,-0.007429420505200679,0.01272455089820368,0.03325942350332611
27.18,27.14,27.2,27.75,29.85,4870.0,False,False,603307.SH,2024-09-23,-0.0014716703458425018,0.002210759027265974,0.020220588235294157
13.22,13.86,15.25,14.26,15.25,474899.9,True,True,603988.SH,2024-09-24,0.04841149773071085,0.10028860028860032,-0.06491803278688524
18.81,19.33,19.56,19.29,23.2,13533.0,False,False,301170.SZ,2024-09-24,0.027644869750132806,0.01189860320744951,-0.013803680981595123
5.53,5.53,6.08,6.69,6.08,58035.6,True,True,002208.SZ,2024-09-25,0.0,0.09945750452079571,0.10032894736842102
27.75,27.85,27.73,28.8,30.64,6968.0,False,False,603307.SH,2024-09-25,0.003603603603603567,-0.004308797127468567,0.03858636855391273
6.08,6.08,6.69,7.36,6.69,26345.73,True,True,002208.SZ,2024-09-26,0.0,0.10032894736842102,0.1001494768310911
18.6,19.16,19.4,20.88,22.99,29495.8,False,False,301456.SZ,2024-09-26,0.03010752688172036,0.012526096033402823,0.07628865979381438
6.69,6.69,7.36,8.1,7.36,56063.66,True,True,002208.SZ,2024-09-27,0.0,0.1001494768310911,0.1005434782608694
54.43,54.43,59.87,65.86,59.87,17910.66,True,True,600702.SH,2024-09-27,0.0,0.0999448833363954,0.10005010856856522
11.88,11.88,13.07,13.12,13.07,2552244.94,True,True,002423.SZ,2024-09-30,0.0,0.10016835016835013,0.0038255547054322214
4.83,4.83,5.31,5.84,5.31,518432.81,True,True,000750.SZ,2024-09-30,0.0,0.0993788819875776,0.09981167608286268
7.57,7.57,8.08,8.33,8.33,550999.31,True,False,600826.SH,2024-10-08,0.0,0.06737120211360637,0.030940594059405857
5.31,5.31,5.84,5.19,5.84,14639534.69,True,True,000750.SZ,2024-10-08,0.0,0.09981167608286268,-0.11130136986301364
35.0,36.95,37.66,35.4,40.65,38010.96,False,False,605128.SH,2024-10-09,0.05571428571428583,0.019215155615696755,-0.06001062134891122
8.08,8.15,8.33,7.61,8.97,575506.35,False,False,600826.SH,2024-10-09,0.008663366336633782,0.02208588957055202,-0.08643457382953179
14.2,14.03,14.03,13.62,15.43,35078.86,False,False,603172.SH,2024-10-10,-0.011971830985915477,0.0,-0.029223093371347098
6.45,6.64,6.57,7.29,7.3,270924.42,False,False,603378.SH,2024-10-10,0.029457364341085146,-0.010542168674698704,0.1095890410958904
17.79,17.79,19.57,18.0,19.57,5833594.81,True,True,601211.SH,2024-10-11,0.0,0.10005621135469367,-0.08022483392948387
31.26,30.06,30.2,30.33,33.07,3060.0,False,False,001225.SZ,2024-10-11,-0.03838771593090218,0.004657351962741307,0.004304635761589459
18.55,18.48,18.39,18.16,20.33,38084.88,False,False,603173.SH,2024-10-14,-0.0037735849056603765,-0.004870129870129913,-0.01250679717237635
23.31,23.69,23.69,23.89,26.06,13142.25,False,False,603163.SH,2024-10-14,0.016302016302016442,0.0,0.008442380751371825
8.7,8.62,8.6,8.73,9.48,18399.1,False,False,603819.SH,2024-10-15,-0.00919540229885063,-0.002320185614849146,0.015116279069767424
11.71,11.44,11.37,11.62,12.58,9143.58,False,False,603578.SH,2024-10-15,-0.023057216054654273,-0.006118881118881148,0.021987686895338587
12.1,12.1,13.31,14.64,13.31,25886.66,True,True,603038.SH,2024-10-16,0.0,0.10000000000000009,0.09992486851990989
18.03,18.13,18.23,18.01,19.94,11881.03,False,False,603075.SH,2024-10-16,0.005546311702717466,0.005515719801434171,-0.012068019747668579
13.31,13.31,14.64,16.1,14.64,502485.45,True,True,603038.SH,2024-10-17,0.0,0.09992486851990989,0.0997267759562841
23.77,23.36,24.87,24.31,25.7,22785.04,False,False,603163.SH,2024-10-17,-0.01724863273033239,0.06464041095890427,-0.022517088862082923
29.98,29.98,35.98,43.18,35.98,8784.17,True,True,301297.SZ,2024-10-18,0.0,0.20013342228152098,0.20011117287381897
33.86,33.86,37.25,40.98,37.25,17490.06,True,True,002851.SZ,2024-10-18,0.0,0.10011813349084475,0.1001342281879194
37.25,37.25,40.98,43.79,40.98,60323.84,True,True,002851.SZ,2024-10-21,0.0,0.1001342281879194,0.06857003416300644
8.92,8.92,9.81,10.18,9.81,258910.96,True,True,600839.SH,2024-10-21,0.0,0.09977578475336335,0.0377166156982669
43.18,43.18,51.82,62.18,51.82,30206.15,True,True,301297.SZ,2024-10-22,0.0,0.2000926354793886,0.19992280972597443
17.71,17.71,18.7,17.53,19.48,926029.78,True,False,603038.SH,2024-10-22,0.0,0.05590062111801242,-0.06256684491978604
5.45,5.45,6.0,6.6,6.0,53965.54,True,True,000958.SZ,2024-10-23,0.0,0.10091743119266061,0.09999999999999987
15.85,15.85,17.44,19.18,17.44,14247.32,True,True,603656.SH,2024-10-23,0.0,0.10031545741324921,0.09977064220183474
6.0,6.0,6.6,7.26,6.6,186416.49,True,True,000958.SZ,2024-10-24,0.0,0.09999999999999987,0.10000000000000009
17.44,17.44,19.18,21.1,19.18,41615.4,True,True,603656.SH,2024-10-24,0.0,0.09977064220183474,0.10010427528675714
8.73,8.73,9.6,10.56,9.6,22938.61,True,True,600292.SH,2024-10-25,0.0,0.09965635738831602,0.10000000000000009
12.78,12.94,13.18,13.62,14.23,54757.0,False,False,603886.SH,2024-10-25,0.012519561815336422,0.018547140649149974,0.03338391502276172
13.81,13.81,15.19,15.19,15.19,44935.6,True,True,600843.SH,2024-10-28,0.0,0.09992758870383778,0.0
5.3,5.3,5.83,5.56,5.83,4410581.53,True,True,002183.SZ,2024-10-28,0.0,0.10000000000000009,-0.046312178387650116
