open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
57.1,57.1,62.81,69.09,62.81,6627.0,True,True,605255.SH,2025-09-02,0.0,0.10000000000000009,0.09998407896831707
26.99,25.68,25.62,25.83,28.25,437184.51,False,False,600498.SH,2025-09-02,-0.048536494998147384,-0.002336448598130758,0.008196721311475308
20.3,19.53,19.56,19.14,23.44,74580.8,False,False,300733.SZ,2025-09-03,-0.037931034482758585,0.001536098310291667,-0.021472392638036686
13.75,13.21,13.3,12.98,15.85,168445.6,False,False,300590.SZ,2025-09-03,-0.03927272727272724,0.00681302043906129,-0.024060150375939893
12.36,12.07,12.09,12.47,13.28,228519.77,False,False,002636.SZ,2025-09-04,-0.02346278317152095,0.001657000828500399,0.03143093465674118
21.62,20.58,20.58,21.8,22.64,726528.49,False,False,600206.SH,2025-09-04,-0.04810360777058287,0.0,0.05928085519922277
196.02,198.0,199.5,201.15,217.8,174833.68,False,False,603893.SH,2025-09-05,0.010101010101009944,0.007575757575757569,0.008270676691729317
36.31,37.18,37.5,37.35,40.9,597354.32,False,False,600584.SH,2025-09-05,0.023960341503717952,0.008606777837547153,-0.0040000000000000036
54.6,54.59,54.63,55.75,60.05,356480.33,False,False,600760.SH,2025-09-08,-0.0001831501831501825,0.0007327349331378574,0.020501555921654813
42.4,41.84,41.62,41.1,46.02,129653.32,False,False,002222.SZ,2025-09-08,-0.013207547169811207,-0.005258126195028856,-0.012493993272465032
28.43,27.81,28.2,28.45,33.37,227232.27,False,False,300602.SZ,2025-09-09,-0.021807949349278988,0.014023732470334505,0.00886524822695045
49.7,49.52,48.9,49.0,54.47,1805790.04,False,False,600111.SH,2025-09-09,-0.003621730382293742,-0.012520193861066287,0.002044989775051187
48.9,49.36,49.0,50.65,54.3,2334589.42,False,False,600111.SH,2025-09-10,0.009406952965235194,-0.007293354943273878,0.03367346938775517
34.81,34.65,35.34,35.66,41.58,124843.85,False,False,300777.SZ,2025-09-10,-0.004596380350474161,0.019913419913420105,0.009054895302772925
20.22,20.24,20.24,20.02,22.26,27132.37,False,False,603273.SH,2025-09-11,0.0009891196834816984,0.0,-0.010869565217391242
35.2,35.39,35.3,35.1,38.93,162312.05,False,False,600316.SH,2025-09-11,0.0053977272727272485,-0.002543091268720099,-0.005665722379603277
20.24,19.97,20.02,19.78,21.97,19555.25,False,False,603273.SH,2025-09-12,-0.01333992094861658,0.0025037556334501776,-0.011988011988011915
20.55,19.95,20.1,19.74,23.94,100328.0,False,False,300218.SZ,2025-09-12,-0.02919708029197088,0.007518796992481258,-0.017910447761194215
10.77,10.64,10.64,10.66,11.7,51039.0,False,False,603299.SH,2025-09-15,-0.01207056638811499,0.0,0.001879699248120259
14.19,14.16,14.19,14.4,15.58,15043.15,False,False,603137.SH,2025-09-15,-0.002114164904862492,0.0021186440677964935,0.014799154334038223
30.29,30.21,30.21,30.37,33.23,101608.53,False,False,600764.SH,2025-09-16,-0.002641135688345897,0.0,0.005296259516716306
13.11,12.89,12.78,12.79,14.18,353126.0,False,False,002378.SZ,2025-09-16,-0.016781083142639153,-0.008533747090768151,0.0007824726134584292
33.18,33.18,36.5,40.15,36.5,17442.5,True,True,001234.SZ,2025-09-17,0.0,0.10006027727546707,0.09999999999999987
33.53,33.53,36.88,39.98,36.88,131948.31,True,True,600699.SH,2025-09-17,0.0,0.09991052788547572,0.08405639913232088
36.88,36.88,39.98,38.0,40.57,3098553.12,True,False,600699.SH,2025-09-18,0.0,0.08405639913232088,-0.049524762381190524
21.3,21.13,21.2,20.96,23.24,405448.35,False,False,600206.SH,2025-09-18,-0.007981220657277022,0.003312825366777128,-0.011320754716981019
59.6,62.45,62.1,64.7,68.7,388327.9,False,False,600760.SH,2025-09-19,0.04781879194630867,-0.005604483586869491,0.041867954911433136
6.39,6.42,6.47,6.33,7.06,383027.44,False,False,000758.SZ,2025-09-19,0.0046948356807512415,0.007788161993769416,-0.021638330757341562
7.94,7.94,8.73,9.6,8.73,56222.37,True,True,600167.SH,2025-09-22,0.0,0.09949622166246841,0.09965635738831602
32.23,31.87,31.87,31.7,35.06,30111.69,False,False,000915.SZ,2025-09-22,-0.011169717654359146,0.0,-0.005334170065892763
