date,code,reason,pnl
2020-09-21,600483.SH,调仓,1.7610062893081757
2020-09-21,603876.SH,调仓,2.8268551236749095
2020-09-21,002014.SZ,调仓,2.06648697214733
2020-09-21,300837.SZ,调仓,-1.9896831245394209
2020-09-21,000777.SZ,调仓,0.7593014426727329
2020-09-21,002532.SZ,调仓,6.145251396648033
2020-09-21,000893.SZ,调仓,-5.299539170506906
2020-09-21,002448.SZ,调仓,1.2567324955116588
2020-09-21,603579.SH,调仓,-1.1944444444444424
2020-09-21,603067.SH,调仓,3.034901365705611
2020-09-21,600517.SH,调仓,3.2496307237813937
2020-09-21,002746.SZ,买入,0.0
2020-09-21,300723.SZ,买入,0.0
2020-09-21,002973.SZ,买入,0.0
2020-09-21,600396.SH,买入,0.0
2020-09-21,300816.SZ,买入,0.0
2020-09-21,000958.SZ,买入,0.0
2020-09-21,688258.SH,买入,0.0
2020-09-21,600096.SH,买入,0.0
2020-09-21,002380.SZ,买入,0.0
2020-09-21,603066.SH,买入,0.0
2020-09-21,603115.SH,买入,0.0
2020-09-22,300681.SZ,止损,-12.43582430119795
2020-09-24,603016.SH,止损,-11.23595505617978
2020-09-28,002864.SZ,止损,-12.121212121212121
2020-09-28,000506.SZ,止损,-11.149825783972133
2020-09-28,603530.SH,止损,-11.260709914320689
2020-09-28,002645.SZ,止损,-11.814345991561193
2020-09-28,600506.SH,止损,-10.009624639076042
2020-09-28,603868.SH,调仓,-7.048124289503599
2020-09-28,600961.SH,调仓,-7.631578947368423
2020-09-28,002749.SZ,调仓,-5.977859778597794
2020-09-28,002978.SZ,调仓,-6.001644286105801
2020-09-28,002746.SZ,调仓,-4.404945904173108
2020-09-28,300723.SZ,调仓,-5.485134823692106
2020-09-28,002973.SZ,调仓,-0.04111842105263275
2020-09-28,300816.SZ,调仓,-6.187689640225413
2020-09-28,688258.SH,调仓,-5.625618199802174
2020-09-28,603115.SH,调仓,-5.979498861047816
2020-09-28,002645.SZ,买入,0.0
2020-09-28,300681.SZ,买入,0.0
2020-09-28,603006.SH,买入,0.0
2020-09-28,603530.SH,买入,0.0
2020-09-28,603297.SH,买入,0.0
2020-09-28,000506.SZ,买入,0.0
2020-09-28,603016.SH,买入,0.0
2020-09-28,603579.SH,买入,0.0
2020-09-28,002215.SZ,买入,0.0
2020-09-28,000554.SZ,买入,0.0
2020-09-28,002818.SZ,买入,0.0
2020-09-28,002150.SZ,买入,0.0
2020-09-28,300371.SZ,买入,0.0
2020-09-28,002731.SZ,买入,0.0
2020-09-28,002885.SZ,买入,0.0
2020-09-28,603876.SH,买入,0.0
2020-09-28,688080.SH,买入,0.0
2020-09-28,002937.SZ,买入,0.0
2020-09-28,600398.SH,买入,0.0
2020-10-09,603192.SH,调仓,-6.884057971014501
2020-10-09,002170.SZ,调仓,-5.238095238095242
2020-10-09,600396.SH,调仓,-2.2058823529411797
2020-10-09,002380.SZ,调仓,-3.059895833333326
2020-10-09,002645.SZ,调仓,9.21052631578949
2020-10-09,603006.SH,调仓,6.627680311890827
2020-10-09,603579.SH,调仓,0.789313904068023
2020-10-09,002215.SZ,调仓,2.3333333333333206
2020-10-09,002885.SZ,调仓,4.213298222514816
2020-10-09,603876.SH,调仓,2.8787878787878807
2020-10-09,688080.SH,调仓,3.8290549261436935
2020-10-09,600398.SH,调仓,6.25
2020-10-09,300756.SZ,买入,0.0
2020-10-09,600753.SH,买入,0.0
2020-10-09,002956.SZ,买入,0.0
2020-10-09,002887.SZ,买入,0.0
2020-10-09,002357.SZ,买入,0.0
2020-10-09,688222.SH,买入,0.0
2020-10-09,603607.SH,买入,0.0
2020-10-09,002346.SZ,买入,0.0
2020-10-09,300809.SZ,买入,0.0
2020-10-09,002864.SZ,买入,0.0
2020-10-12,603351.SH,调仓,-0.18719580681393344
2020-10-12,603256.SH,调仓,-3.287197231833916
2020-10-12,603530.SH,调仓,9.379310344827573
2020-10-12,300371.SZ,调仓,6.102117061021173
2020-10-12,600753.SH,调仓,5.7201929703652565
2020-10-12,002956.SZ,调仓,5.165382872677848
2020-10-12,603136.SH,买入,0.0
