trade_date,e_lian,e_shou,n_lian,n_shou,e_lian_exec,pct_rank
2022-11-07,0.004569047574851275,0.012524595986921096,17,41,0.011402795573960331,0.5587915224722898
2022-11-08,-0.026804178214449213,-0.02589055042318212,10,28,-0.03483846049784667,0.3925323646534989
2022-11-09,-0.04630349070771457,-0.00019083157203411694,11,32,-0.047925690711038055,0.477074175183252
2022-11-10,-0.05382478953898884,5.7384464387206374e-05,15,42,-0.15242716072744,0.6427595579883133
2022-11-11,-0.0006937782585846597,0.01349148591967625,13,46,-0.13935144529392404,0.3619759319916178
2022-11-14,0.01854375363780681,0.036874777228859616,16,48,-0.03371453255140675,0.4499236661943708
2022-11-15,0.0348243081037701,-0.011868895411039014,20,63,0.013926772313462949,0.5587264752442097
2022-11-16,-0.08236674371584655,0.009655778262977319,13,27,-0.10792039745729713,0.3014670664859589
2022-11-17,-0.009928640607286855,-0.019545997763447096,12,47,-0.11891089676008905,0.5339201715637668
2022-11-18,0.04134099859283244,0.00697276884787067,12,35,-0.0021032430812366297,0.3177902334632329
2022-11-21,0.0449556837333335,-0.021929960222492016,14,39,-0.007818291574481884,0.4921455899869875
2022-11-22,0.001180380823555969,0.011961613646890402,8,34,-0.04161812310539813,0.2488696386769374
2022-11-23,0.026717009892014414,-0.014546421823291527,13,32,-0.09256306182357349,0.488040116735255
2022-11-24,0.05199147788447284,0.0200949321108502,8,38,-0.007527103387719698,0.3178679065439512
2022-11-25,0.16194760691614124,-0.01590328029576825,9,26,0.04860718057419085,0.4200564718187923
2022-11-28,0.04436937156439483,-0.0020138608331350255,13,27,-0.045483399468762814,0.5016037595751709
2022-11-29,-0.026128791497695376,-0.01926082725418369,17,79,-0.05371505413450379,0.7407660751580241
2022-11-30,-0.05748279104579646,-0.03683156650885442,18,32,-0.114572145368174,0.3676513328044707
2022-12-01,-0.019776642933430205,0.020827043425343743,13,45,-0.03457597691501387,0.4256373290876271
2022-12-02,0.002617029393837461,-0.0052652156846323414,11,47,0.02721935913115385,0.4773262580943361
2022-12-05,-0.02693788873408355,-0.0013135319864750073,13,40,-0.04858888812775653,0.4278987420777998
2022-12-06,-0.026955838861526388,0.0076598135755892695,8,24,-0.04564340771961006,0.297238184347236
2022-12-07,0.04876836662166453,0.010372105069235108,8,41,-0.0275238591681038,0.4898481390064115
2022-12-08,0.07971949863428829,-0.019581726064026087,12,38,0.0732640204319574,0.4601718791433902
2022-12-09,0.06911310282366884,0.005542509091274539,9,32,-0.004092677675152399,0.3063521165331846
2022-12-12,0.1504894833604265,0.03833641371471069,7,38,0.026076802281092666,0.3951669553656456
2022-12-13,0.011758805088923449,-0.023762205659597087,14,44,-0.0562885739708895,0.5948574006622143
2022-12-14,0.0039543691423803845,0.048320293755589175,12,37,-0.052362823679392684,0.4383591728721892
2022-12-15,0.05853291382944543,0.013749644823082233,8,25,0.06797349185180454,0.297898453157213
2022-12-16,-0.010094638466077867,0.027257008902155693,8,30,-0.008593214665770593,0.381625464783868
2022-12-19,0.04442075523606055,-0.008076157815182037,7,17,0.0010956203185930082,0.293096491353432
2022-12-20,0.007211889768807026,-0.008403132878139732,7,19,0.007211889768807026,0.3116873623322884
2022-12-21,0.04694508204590986,0.0508605675593751,3,23,-0.015503161719632863,0.2805516322210523
2022-12-22,0.0496263644835738,0.0019582667516030404,6,28,0.0496263644835738,0.3558859660155947
2022-12-23,0.16198226157097376,-0.011545877140047464,7,31,0.11820598112112334,0.3213163917268797
2022-12-26,0.1521073573443656,0.043887045375445036,6,55,0.09224125735037716,0.4507288312377874
2022-12-27,0.01469166992656086,-0.010036265775671061,15,32,-0.007896515792856718,0.4970684890708834
2022-12-28,-0.028607903158645,0.015063692794410631,11,25,-0.028460868107002282,0.4287118000343327
2022-12-29,-0.041892991313120534,-0.04168937895430497,12,25,-0.05213261822219274,0.5151044904315035
2022-12-30,-0.048381779640028884,-0.04431691969565235,11,34,-0.11858977064480722,0.5737304208662934
2023-01-03,-0.02136194669914511,-0.008680974215107249,15,81,-0.08426847162518736,0.6712003254182206
2023-01-04,-0.03533205795378279,0.0006188958786645443,14,33,-0.05757674831942919,0.3833974305781074
2023-01-05,0.037053922547891846,0.03034331139468084,7,34,-0.002563071872361263,0.3233851480927816
2023-01-06,0.11160372584301778,-0.030593983762903603,6,25,0.046640700858610946,0.2001056323626711
2023-01-09,0.07439858438912929,0.02742577237354915,3,37,0.07439858438912929,0.2932277787875241
2023-01-10,0.0455124276380009,-0.029134107871071267,7,29,-0.02157411128091328,0.4050015315864509
2023-01-11,-0.08148793404809429,-0.04420826786706857,9,19,-0.08441893622373023,0.3575518406142891
2023-01-12,-0.028053696279670096,-0.016548587773461364,5,27,0.013721155424244676,0.3477527948926302
2023-01-13,0.018991002306595686,-0.02632089066152158,5,28,-0.0683594146693183,0.3375683779435681
2023-01-16,-0.0035052964520653172,-0.0052647219673906155,11,30,0.014066603090481987,0.4637416602583721
2023-01-17,-0.04625317463943526,-0.055753577412271854,8,25,-0.19920564478115962,0.3848979590326949
2023-01-18,-0.041465569980851644,0.0017365030108589738,9,26,-0.10593046299830451,0.4334534672879056
2023-01-19,0.0014083221260619283,-0.01987859428753689,6,23,-0.06424626863908983,0.2957906883600871
2023-01-20,0.014354728300715387,0.028366023601392856,6,19,-0.007509923036572663,0.330170039189215
2023-01-30,-0.00822207348213368,0.039500596156339024,12,70,-0.06061409148770683,0.7278497271845771
2023-01-31,0.07540758479592938,-0.0027980329040831267,17,24,0.011828477531136306,0.4510960369229541
2023-02-01,0.0022273246805850164,0.0006613736498420376,18,53,-0.031179785053296716,0.7813290334821114
2023-02-02,0.006687735810676606,-0.019822759660689974,11,38,-0.07950087803307708,0.3879491391765051
2023-02-03,0.06500903286667095,-0.010158746564087169,9,30,-0.12277661157713399,0.4101117247074904
2023-02-06,0.09555537864213912,-0.0003204603187163084,10,27,-0.0625701133085004,0.4716765736160387
2023-02-07,0.059545239138611844,0.01311981333505222,11,30,-0.08402846975638051,0.531291101561654
2023-02-08,0.1302113194541905,-0.0033190681888659555,9,22,-0.06627865982260753,0.3738117769306988
2023-02-09,0.17437149273012045,-0.010811259011639065,8,24,0.09076005408608323,0.4061308497152358
2023-02-10,0.11008021706274147,0.0005947466800877554,5,16,0.12251935089033143,0.2910173499863889
2023-02-13,-0.020240033677889277,0.017020127928727275,7,34,-0.0006220626963038475,0.5666884871961885
2023-02-14,0.03732463425456756,-0.011702684395992674,3,20,0.03447035915696023,0.1903262147717341
2023-02-15,-0.08730155512853438,-0.019511828886749294,7,28,-0.09841757966187403,0.4781278222780732
2023-02-16,-0.1537979015197038,0.02166338639744684,4,15,-0.15689161646085487,0.1054783419778207
2023-02-17,0.04351066966520546,-0.022550886930710605,6,21,-0.1574746264598985,0.3560561668589077
2023-02-20,0.12297741588496405,0.0037698104929671725,4,34,-0.07304622186145936,0.3771641372668939
2023-02-21,0.059163513932343266,-0.003996221690103287,4,12,0.002100162713330162,0.2320336994449134
2023-02-22,0.027510329542622884,-0.001637674147376904,4,20,0.022235753404373913,0.4886925116119762
2023-02-23,-0.01980968823228222,-0.04582700567202776,5,17,-0.015345051814193806,0.4162307296973895
2023-02-24,-0.13905522664621223,0.051808042252466456,3,11,-0.13905522664621223,0.2660778995172564
2023-02-27,0.07624581997203023,-0.0020899758069429022,1,15,,0.1266751724518103
2023-02-28,-0.020911772233252395,0.008662063613110392,5,18,-0.042330861869684655,0.4543133574425628
2023-03-01,-0.001918562860389602,0.007076509403908584,4,24,-0.01532646763600249,0.3610583088471442
2023-03-02,-0.12784614718239753,0.010807690443739911,5,19,-0.14336666641958476,0.3654750779625116
2023-03-03,0.019900830277933636,0.01308957959597246,2,17,-0.2047158452274275,0.2712029768143444
2023-03-06,0.1816705019224155,0.04054778980044296,5,14,-0.031228129752333963,0.3372387462114763
2023-03-07,0.17504810130627774,-0.01520190542250579,5,14,0.05968832634496862,0.4132727810107707
