trade_date,e20_log,e20_exec_log,n_active,n_base,cov_codes,pct_rank
2023-11-17,-0.08288210622047351,-0.08815265884910872,44,2847,1.0,0.7651636359770093
2023-11-20,-0.06574375195480811,-0.07240280311296726,59,2826,1.0,0.8792670053997326
2023-11-21,-0.07963178270238004,-0.1031229030758416,52,2841,1.0,0.7347818011869215
2023-11-22,-0.10123517914914178,-0.12130067464112346,50,2869,1.0,0.8466143291688978
2023-11-23,-0.018471483385801832,-0.034289452373214374,39,2847,1.0,0.3214332268700279
2023-11-24,-0.05619683443551373,-0.08768132211527915,31,2879,1.0,0.5125475160884396
2023-11-27,-0.06681480961140712,-0.08756617224313143,35,2871,1.0,0.4390245066296131
2023-11-28,0.0037177921955377086,0.008099874707114159,37,2861,1.0,0.504706301685507
2023-11-29,-0.06980994002908725,-0.11306471939746959,30,2874,1.0,0.406946329045885
2023-11-30,-0.005820221913926216,-0.01522540684539336,27,2882,1.0,0.4496857750770916
2023-12-01,-0.05959044874175319,-0.09009828151813001,50,2867,1.0,0.7475304288641409
2023-12-04,-0.06476163002112377,-0.06695560343848131,54,2862,1.0,0.8657970102541667
2023-12-05,-0.13880669328026715,-0.14315849527763244,39,2902,1.0,0.5981994938511832
2023-12-06,-0.07807421778701201,-0.07622156100253688,38,2889,1.0,0.3991086827494728
2023-12-07,-0.11802004626890174,-0.13753748204829544,39,2897,1.0,0.6553816271394501
2023-12-08,-0.11860533840732404,-0.12318490789855116,33,2911,1.0,0.300301149687844
2023-12-11,-0.07200459522189223,-0.07947948686026185,39,2886,1.0,0.4559555755501735
2023-12-12,-0.09321145880593093,-0.10403785979707603,43,2871,1.0,0.6165484224922535
2023-12-13,-0.12221574846808632,-0.12110755367885644,36,2885,1.0,0.5939806990852546
2023-12-14,-0.11093799445061811,-0.11023126704038227,39,2896,1.0,0.6428791426012225
2023-12-15,-0.1013611596919567,-0.1005828654913248,44,2902,1.0,0.6735480073468407
2023-12-18,-0.1235608999745929,-0.14331962267880044,35,2933,1.0,0.3560800285364281
2023-12-19,-0.09163549311263902,-0.09829056287711033,26,2933,1.0,0.2536245409941524
2023-12-20,-0.0591031214595476,-0.08786993739200186,31,2968,1.0,0.6005733151394169
2023-12-21,-0.02756776327451531,-0.0316895240833301,36,2949,1.0,0.5461374325901261
2023-12-22,0.001831922129564359,0.014266202442831152,20,2977,1.0,0.1974312112749043
2023-12-25,-0.09236570483309936,-0.0947936896802565,33,2983,1.0,0.5775139836979422
2023-12-26,-0.08251589771956268,-0.07506590034288778,39,3020,1.0,0.6957129538930736
2023-12-27,-0.05348902950299167,-0.06177063452189063,29,2995,1.0,0.4049434684378358
2023-12-28,-0.027879488414638554,-0.0289983035044222,58,2957,1.0,0.8164084590527217
2023-12-29,-0.06347054690194848,-0.058742821327267075,63,2909,1.0,1.0
2024-01-02,-0.051354746970271425,-0.04590654944670089,52,2911,1.0,0.6957430141191607
2024-01-03,-0.03690433669968801,-0.029191270018800286,36,2918,1.0,0.4739840570049618
2024-01-04,-0.05457074279005952,-0.06838703282806163,39,2926,1.0,0.4736755834084563
2024-01-05,-0.06295835687280565,-0.06554574216891929,24,2971,1.0,0.2303149236130127
2024-01-08,-0.10331299697567664,-0.11375120962494256,33,3012,1.0,0.6648486735064584
2024-01-09,-0.05728833876507128,-0.060083110664794326,43,3004,1.0,0.4425970723536989
2024-01-10,0.002514083455771976,-0.019847017991718452,38,3011,1.0,0.547322777350565
2024-01-11,-0.024833031313613918,-0.0362037712381717,55,2979,1.0,0.719012576371268
2024-01-12,-0.01922659934072607,0.010516912421297153,25,2998,1.0,0.1810784701147172
2024-01-15,-0.07196323507932495,-0.08245642608273257,36,3005,1.0,0.5613943169399076
2024-01-16,-0.070896789138156,-0.10256998353458219,32,3013,1.0,0.508568833939018
2024-01-17,-0.07042231779856842,-0.09432682105791482,33,3064,1.0,0.5701373225172167
2024-01-18,-0.08045247679189368,-0.09140040140875641,38,3082,1.0,0.7177212878175522
2024-01-19,-0.04701528739967717,-0.05153474400083902,40,3108,1.0,0.5600684515679156
2024-01-22,-0.12933391008832457,-0.15141918759081677,17,3215,1.0,0.2497297223946544
2024-01-23,0.006396023050160751,-0.0013960019879861174,44,3208,1.0,0.8960708057354484
2024-01-24,-0.011934524179510478,-0.013263484028455591,74,3179,1.0,0.920347151098422
2024-01-25,0.047019006760212284,0.05713754572949727,106,3104,1.0,1.0
2024-01-26,-0.09901397327828237,-0.1036411839864275,60,3106,1.0,0.5417843624057525
2024-01-29,-0.15279352521891676,-0.14145447696607436,28,3170,1.0,0.1397994047510123
2024-01-30,-0.04909544732721893,-0.03236074001869399,23,3233,1.0,0.1623512938282082
2024-01-31,-0.11811070538163498,-0.11513104711304573,28,3324,1.0,0.3168179351665193
2024-02-01,-0.017314071919969254,-0.05368798859577259,30,3345,1.0,0.3426470203386509
2024-02-02,-0.10166334605053404,-0.13019661876754068,27,3407,1.0,0.1691166202679419
2024-02-05,-0.0975272712828002,-0.14878921157405178,20,3524,1.0,0.1498845001163375
2024-02-06,-0.06662790315149072,-0.0699897812638261,143,3474,1.0,0.91443109269724
2024-02-07,-0.13884394106328232,-0.14228884841086545,96,3449,1.0,0.7095897680339248
2024-02-08,0.012657269242743796,0.007311099221609496,505,3347,1.0,1.0
2024-02-19,0.08290486213529522,0.06758297469406385,239,3319,1.0,0.6885829718383841
2024-02-20,0.04077044825631512,0.023253493389611635,105,3312,1.0,0.5645255936168467
2024-02-21,0.025918677897030284,0.026487841761319575,131,3291,1.0,0.4993082732401748
2024-02-22,0.057998156193541234,0.07341870012311416,78,3261,1.0,0.4666872397441296
2024-02-23,0.021000470465186494,0.021059495061470312,114,3213,1.0,0.7758014677378293
2024-02-26,-0.017362395290690124,-0.0216617320851952,107,3199,1.0,0.606890650172236
2024-02-27,-0.0160989678115483,-0.01565588232567238,100,3163,1.0,0.6726323145345906
2024-02-28,-0.15091134057537267,-0.15688051604169326,32,3248,1.0,0.0187182541674255
2024-02-29,-0.0214366128682606,-0.01805238322402983,107,3193,1.0,0.6077102798057946
2024-03-01,-0.045461086788091125,-0.05898616486897905,71,3175,1.0,0.4203728187382924
2024-03-04,-0.03127126643857596,-0.04111554961663255,73,3171,1.0,0.3325307240586448
2024-03-05,-0.053664463069353324,-0.0537051338304258,47,3202,1.0,0.2882107778242349
2024-03-06,-0.030003751198213933,-0.03541480278690434,85,3186,1.0,0.4970285468523855
2024-03-07,-0.054196535753997035,-0.053097523955500533,66,3203,1.0,0.2844992443874563
2024-03-08,-0.07167877351474257,-0.0772263029030798,63,3190,1.0,0.2655543427089814
2024-03-11,-0.001187940769539859,-0.00869276280980523,85,3159,1.0,0.4631033253336253
2024-03-12,-0.008556152164679913,-0.011045318511059839,75,3132,1.0,0.3621605716674388
2024-03-13,-0.06567677365943392,-0.07234409665169746,57,3133,1.0,0.3377006344437419
2024-03-14,-0.020258722808284307,-0.01371867670245619,40,3142,1.0,0.2486021684124782
2024-03-15,-0.03275026737872547,-0.02104820690581294,74,3124,1.0,0.6190363656737323
2024-03-18,-0.057379190686774495,-0.05100955826591583,85,3081,1.0,0.5309826018873693
2024-03-19,-0.0732971811401606,-0.06338334514195412,65,3096,1.0,0.4014208232195321
2024-03-20,-0.07622494106187258,-0.07676411388163995,79,3077,1.0,0.6295016034412998
