BP,reversal,lowvol,ROE,IC均值,ICIR,IC>0占比
0.15000000000000002,0.35000000000000003,0.25,0.25,0.08963970859816314,0.7043610672422306,0.74
0.30000000000000004,0.4,0.25,0.05,0.09192577955701699,0.704238295337084,0.74
0.25,0.55,0.0,0.2,0.07682978028564225,0.7041576446325667,0.75
0.0,0.4,0.35000000000000003,0.25,0.08444914304027672,0.7041332234891609,0.75
0.15000000000000002,0.45,0.1,0.30000000000000004,0.08003341209508769,0.7038407269488233,0.72
0.15000000000000002,0.35000000000000003,0.30000000000000004,0.2,0.09182014799628682,0.7036153790185297,0.74
0.4,0.55,0.05,0.0,0.08105444324523486,0.703364527148959,0.74
0.25,0.35000000000000003,0.15000000000000002,0.25,0.08839675561239944,0.702957368397504,0.76
0.1,0.4,0.45,0.05,0.09150041368761164,0.7028591227184692,0.73
0.4,0.5,0.1,0.0,0.08415844968076326,0.7026794175846279,0.74
0.2,0.4,0.1,0.30000000000000004,0.08230384806907946,0.7026684720830643,0.73
0.1,0.45,0.15000000000000002,0.30000000000000004,0.08044095155842086,0.7026543112418524,0.73
0.0,0.6000000000000001,0.2,0.2,0.07809649663033114,0.7024195586952882,0.73
0.35000000000000003,0.45,0.2,0.0,0.08882999547396019,0.7022761002610097,0.74
0.1,0.4,0.2,0.30000000000000004,0.08341498821456445,0.7021187281661097,0.71
0.4,0.45,0.1,0.05,0.08600142046952725,0.7020406877291449,0.7
0.25,0.6000000000000001,0.0,0.15000000000000002,0.07658191613042424,0.701911550073354,0.75
0.05,0.6000000000000001,0.15000000000000002,0.2,0.07825315206055387,0.7014521773464331,0.74
0.4,0.4,0.05,0.15000000000000002,0.0852877571879163,0.7014303911089387,0.7
0.15000000000000002,0.35000000000000003,0.35000000000000003,0.15000000000000002,0.09319436438194013,0.7010270921803499,0.74
0.25,0.5,0.0,0.25,0.07689010640349836,0.7009748065175682,0.74
0.05,0.4,0.5,0.05,0.09028885415794914,0.7008192993853384,0.72
0.30000000000000004,0.35000000000000003,0.15000000000000002,0.2,0.09016023384408339,0.7007457834433335,0.74
0.1,0.75,0.15000000000000002,0.0,0.07800000827776889,0.7006051075932327,0.74
0.25,0.7000000000000001,0.05,0.0,0.07713960578270446,0.7005638824181204,0.74
0.30000000000000004,0.65,0.0,0.05,0.07639910620269638,0.7004506686974104,0.73
0.30000000000000004,0.35000000000000003,0.2,0.15000000000000002,0.09225487964200871,0.7002780843722636,0.74
0.1,0.55,0.1,0.25,0.07765286729688643,0.7002440449791603,0.74
0.1,0.6000000000000001,0.1,0.2,0.07783195879385157,0.7000812795841571,0.75
0.0,0.55,0.2,0.25,0.07769812425076651,0.6998566440891666,0.72
0.4,0.4,0.1,0.1,0.08762181561823461,0.6997886457760152,0.72
0.25,0.35000000000000003,0.25,0.15000000000000002,0.09296595795172095,0.6996247814230159,0.75
0.2,0.35000000000000003,0.30000000000000004,0.15000000000000002,0.0931381848586155,0.6995612391463987,0.76
0.1,0.35000000000000003,0.30000000000000004,0.25,0.0888919598110225,0.6995371409503841,0.74
0.30000000000000004,0.35000000000000003,0.1,0.25,0.08666855388377934,0.6992607914897234,0.73
0.05,0.75,0.2,0.0,0.07818971026407037,0.6992365875790733,0.74
0.25,0.4,0.05,0.30000000000000004,0.08073557623677807,0.699158112255858,0.74
0.2,0.7000000000000001,0.05,0.05,0.07686661076171641,0.6988014812970695,0.73
0.1,0.35000000000000003,0.35000000000000003,0.2,0.09076244362829972,0.6987222738942782,0.75
0.0,0.75,0.25,0.0,0.0781781212989624,0.69824409383855,0.74
