rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2022-09-30,002136.SZ,0.0125,49.56043306262072,化工原料,274608.1947
2022-09-30,002401.SZ,0.0125,48.63179879184239,软件服务,298011.799
2022-09-30,002404.SZ,0.0125,46.15611803109777,纺织,270342.4945
2022-09-30,300241.SZ,0.0125,43.22389207997147,半导体,262465.744
2022-09-30,000421.SZ,0.0125,42.59907310951769,供气供热,293195.2302
2022-09-30,603600.SH,0.0125,41.15954822639396,家居用品,288899.5712
2022-09-30,600774.SH,0.0125,39.602893693265514,化学制药,296906.0259
2022-09-30,000862.SZ,0.0125,39.480526998793486,新型电力,288277.9118
2022-09-30,300787.SZ,0.0125,38.82634711072246,元器件,272142.9546
2022-09-30,002282.SZ,0.0125,38.75514745978867,机械基件,276015.2256
2022-09-30,300100.SZ,0.0125,37.466834715255175,汽车配件,283462.1232
2022-09-30,300494.SZ,0.0125,37.3765389141008,互联网,288708.642
2022-09-30,603648.SH,0.0125,37.34302173611974,仓储物流,289930.24
2022-09-30,603351.SH,0.0125,37.00017441384304,化学制药,263856.9099
2022-09-30,688181.SH,0.0125,36.019890450204485,元器件,284449.5073
2022-09-30,603700.SH,0.0125,35.17674489076234,电器仪表,270718.344
2022-09-30,002412.SZ,0.0125,33.28412852797332,中成药,275943.3625
2022-09-30,300437.SZ,0.0125,32.69610886934879,化工原料,292320.6215
2022-09-30,601616.SH,0.0125,32.61283566627877,电气设备,295641.7
2022-09-30,002328.SZ,0.0125,32.03425879402432,汽车配件,296145.3575
2022-09-30,603843.SH,0.0125,31.861239391983844,建筑工程,294541.3828
2022-09-30,600386.SH,0.0125,31.807401995364348,汽车服务,291916.8
2022-09-30,300440.SZ,0.0125,31.648999920716353,软件服务,273978.3819
2022-09-30,300071.SZ,0.0125,30.888693509605915,广告包装,265658.0171
2022-09-30,603189.SH,0.0125,30.226423018970504,软件服务,299198.6674
2022-09-30,605399.SH,0.0125,27.994190099101463,化工原料,288320.8623
2022-09-30,603739.SH,0.0125,27.571986598147525,农业综合,286907.285
2022-09-30,000909.SZ,0.0125,27.33013176054745,区域地产,299091.223
2022-09-30,603336.SH,0.0125,26.960751992234915,农业综合,262797.0962
2022-09-30,300305.SZ,0.0125,26.738307443181057,塑料,270275.7607
2022-09-30,002732.SZ,0.0125,26.512223091301784,乳制品,263445.9085
2022-09-30,002676.SZ,0.0125,23.717435028751975,家用电器,267105.5158
2022-09-30,600730.SH,0.0125,22.724287065199352,文教休闲,295674.625
2022-09-30,603912.SH,0.0125,20.01385003724936,专用机械,281862.3068
2022-09-30,603586.SH,0.0125,19.91488133469119,汽车配件,262710.7252
2022-09-30,300412.SZ,0.0125,18.275127884231743,医疗保健,278747.3561
2024-01-31,002932.SZ,0.0125,91.79535430950452,医疗保健,266133.0496
2024-01-31,002441.SZ,0.0125,90.4861887109718,电气设备,299957.5562
2024-01-31,688317.SH,0.0125,89.60673460313049,医疗保健,299260.586
2024-01-31,002788.SZ,0.0125,88.80642774447598,医药商业,282683.827
2024-01-31,002772.SZ,0.0125,85.55427969965866,种植业,264675.0043
